Date	Sno	Width	Height
2017.03.14 01:04:58.055	2373508475	63	127
2017.03.14 01:04:58.072	2373997494	63	99
2017.03.14 01:04:58.088	2374067964	63	63
2017.03.14 01:04:58.104	2374110053	63	127
2017.03.14 01:04:58.122	2374177127	81	163
2017.03.14 01:04:58.139	2374356573	63	127
2017.03.14 01:04:58.155	2374460563	94	142
2017.03.14 01:04:58.172	2374760231	81	163
2017.03.14 01:04:58.189	2375598763	63	63
2017.03.14 01:04:58.205	2375953625	63	63
2017.03.14 01:04:58.223	2376459543	63	63
2017.03.14 01:04:58.240	2376463723	39	39
2017.03.14 01:04:58.258	2377350631	81	163
2017.03.14 01:04:58.274	2378829070	63	63
2017.03.14 01:04:58.291	2381080161	99	169
2017.03.14 01:04:58.307	2381080162	99	169
2017.03.14 01:04:58.323	2381080163	99	169
2017.03.14 01:04:58.340	2381080164	99	169
2017.03.14 01:04:58.357	2381080165	99	169
2017.03.14 01:04:58.374	2381080166	99	169
2017.03.14 01:04:58.390	2381351420	63	63
2017.03.14 01:04:58.406	2382601419	63	127
2017.03.14 01:04:58.424	2382713625	81	163
2017.03.14 01:04:58.440	2383150363	63	63
2017.03.14 01:04:58.458	2383223628	63	63
2017.03.14 01:04:58.475	2383428728	81	163
2017.03.14 01:04:58.492	2383605109	472	13
2017.03.14 01:04:58.509	2384697320	63	63
2017.03.14 01:04:58.525	2385770725	63	63
2017.03.14 01:04:58.542	2386541149	63	63
2017.03.14 01:04:58.559	2387719735	63	127
2017.03.14 01:04:58.576	2387998037	94	142
2017.03.14 01:04:58.594	2388252468	63	63
2017.03.14 01:04:58.610	2388304537	63	63
2017.03.14 01:04:58.627	2388478854	63	127
2017.03.14 01:04:58.645	2389415646	63	63
2017.03.14 01:04:58.663	2391114890	63	63
2017.03.14 01:04:58.674	2391603172	63	127
2017.03.14 01:04:58.691	2391713427	94	142
2017.03.14 01:04:58.708	2393100207	63	127
2017.03.14 01:04:58.726	2395432403	63	127
2017.03.14 01:04:58.743	2397751177	81	163
2017.03.14 01:04:58.760	2398813162	63	127
2017.03.14 01:04:58.777	2404902019	63	127
2017.03.14 01:04:58.793	2405348962	94	142
2017.03.14 01:04:58.810	2406461858	63	63
2017.03.14 01:04:58.826	2407189572	63	63
2017.03.14 01:04:58.843	2407291762	63	63
2017.03.14 01:04:58.859	2408035968	63	127
2017.03.14 01:04:58.876	2408737881	63	63
2017.03.14 01:04:58.893	2409923802	63	63
2017.03.14 01:04:58.910	2411109723	63	63
2017.03.14 01:04:58.927	2411126805	63	127
2017.03.14 01:04:58.944	2411680065	161	39
2017.03.14 01:04:58.961	2412295644	63	63
2017.03.14 01:04:58.978	2413132887	63	99
2017.03.14 01:04:58.995	2413239713	81	163
2017.03.14 01:04:59.011	2413481565	63	63
2017.03.14 01:04:59.028	2414605468	63	63
2017.03.14 01:04:59.046	2415282341	63	63
2017.03.14 01:04:59.064	2415599116	39	39
2017.03.14 01:04:59.080	2415780679	63	63
2017.03.14 01:04:59.098	2416574104	63	63
2017.03.14 01:04:59.115	2416578688	41	42
